Class	Architecture	Topology
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_III;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:LDH_C-terminal_domain-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Single_Sheet	:Anthopleurin-A
:Mainly_Alpha	:Up-down_Bundle	:Histone_Acetyltransferase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:2-Layer_Sandwich	:Histidine-containing_Protein;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Beta	:Sandwich	:mini-chromosome_maintenance_(MCM)_complex,_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Chorismate_Mutase_Domain,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:Protein_mu-1,_chain_B,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:N-(1-d-carboxylethyl)-l-norvaline_Dehydrogenase;_domain_2
:Mainly_Beta	:Ribbon	:Seminal_Fluid_Protein_PDC-109_(Domain_B)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Few_Secondary_Structures	:Irregular	:Rhinovirus_14,_subunit_4
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:Porin
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase_Creatine_Kinase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Serum_Albumin;_Chain_A,_Domain_1
:Mainly_Beta	:Single_Sheet	:Glycosyl_hydrolase_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Kinesin
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:Alpha-Beta_Complex	:Creatine_Amidinohydrolase
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:PX_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Metal_Transport,_Frataxin;_Chain_A
:Mainly_Beta	:Beta_Barrel	:Maltoporin;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Creatine_Amidinohydrolase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Trypsin_Inhibitor_V;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Few_Secondary_Structures	:Irregular	:High-Potential_Iron-Sulfur_Protein;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_protein_af0941
:Mainly_Alpha	:Orthogonal_Bundle	:Penicillin_Amidohydrolase;_domain_1
:Mainly_Beta	:Beta_Barrel	:Sortase;_Chain:_A;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Aldehyde_Oxidoreductase;_domain_4
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Mainly_Alpha	:Orthogonal_Bundle	:YcfC-like
:Alpha_Beta	:2-Layer_Sandwich	:SHC_Adaptor_Protein
:Mainly_Alpha	:Orthogonal_Bundle	:hpI_Integrase;_Chain_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:GTP_Cyclohydrolase_I;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Up-down_Bundle	:YheA-like_fold
:Alpha_Beta	:2-Layer_Sandwich	:Glycoprotein,_Type_4_Pilin
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Endoplasmic_reticulum_protein_erp29
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Sulfite_Reductase_Hemoprotein;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:NADH_Oxidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Carboxypeptidase_Inhibitor;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Alpha/alpha_barrel	:Glycosyltransferase
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Arylamine_N-acetyltransferase_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Mainly_Beta	:Beta_Barrel	:Upper_collar_protein_gp10_(connector_protein)_fold
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Antithrombin;_Chain_I,_domain_2
:Mainly_Beta	:Sandwich	:Tumour_Suppressor_Smad4
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:BirA_Bifunctional_Protein;_domain_2
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Butyryl-Coa_Dehydrogenase,_subunit_A;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Ornithine_Decarboxylase;_Chain_A,_domain_4
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein,_Haloacid_Dehalogenase-like_Hydrolase;_Chain:_A;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase_Protein_R1;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:Acetoacetate_decarboxylase-like
:Mainly_Alpha	:Up-down_Bundle	:Transferase,_Pyrimidine_Nucleoside_Phosphorylase;_Chain_A,_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Mainly_Beta	:Aligned_Prism	:Vitelline_Membrane_Outer_Layer_Protein_I,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:PvuII_Endonuclease;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Cytosolic_phospholipase_A2_catalytic_domain
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Pyruvate_Kinase;_Chain:_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Alpha	:Up-down_Bundle	:Udp_N-acetylglucosamine_O-acyltransferase;_Domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:Roll	:Ubiquitin_Conjugating_Enzyme
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Diphtheria_Toxin_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Few_Secondary_Structures	:Irregular	:Luminescent_protein_fold
:Alpha_Beta	:Alpha-Beta_Complex	:PreATP-grasp_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Actin;_Chain_A,_domain_4
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Mainly_Beta	:Ribbon	:Cysteine_Rich_Protein
:Alpha_Beta	:4-Layer_Sandwich	:Phosphatase_2c;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:F1FO_ATP_Synthase
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:N-(1-d-carboxylethyl)-l-norvaline_Dehydrogenase;_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:formyl-coa_transferase,_domain_3
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Sandwich	:Maltose_phosphorylase,_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Yope_Regulator;_Chain:_A,
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Transcription_Termination_Factor_Rho,_Rna-binding_Domain;_Chain_A,_Domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:GIY-YIG_endonuclease
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:de_novo_design_(two_linked_rop_proteins)
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_protein_S3_C-terminal_domain
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:Roll	:CBS-domain
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:4-Layer_Sandwich	:Purple_Acid_Phosphatase;_chain_A,_domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Photosystem_1_Reaction_Centre_Subunit_Ii;_Chain:_D;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Roll	:Ribosomal_Protein_L24e;_Chain:_T;
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Farnesyl_Diphosphate_Synthase
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:Alpha-Beta_Complex	:Toxin_ADP-ribosyltransferase;_Chain_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Heat_Shock_Protein_90
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_III;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:N-(1-d-carboxylethyl)-l-norvaline_Dehydrogenase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Up-down_Bundle	:Mitochondrial_Import_Receptor_Subunit_Tom20;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Mainly_Beta	:Ribbon	:Laminin
:Few_Secondary_Structures	:Irregular	:Endo-1,4-beta-glucanase_f;_domain_3
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Few_Secondary_Structures	:Irregular	:Endosialidase,_domain_4
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Few_Secondary_Structures	:Irregular	:Ricin_(A_Subunit),_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Beta	:Roll	:Alpha-1-antitrypsin;_domain_1
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Beta	:Beta_Barrel	:conserved_putative_lor/sdh_protein_from_methanococcus_maripaludis_s2_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Major_capsid_protein_gp5_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Mainly_Beta	:Beta_Barrel	:Ribosomal_Protein_L25;_Chain_P
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:Conserved_hypothetical_protein_from_pyrococcus_furiosus_pfu-_392566-001,_ParB_domain
:Alpha_Beta	:3-Layer(bab)_Sandwich	:Phage_tail_protein_beta-alpha-beta_fold
:Alpha_Beta	:Roll	:CBS-domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Beta-lactamase
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Endonuclease_Iii,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Undecaprenyl_pyrophosphate_synthetase
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-D-Glucose-1,6-Bisphosphate;_Chain_A,_domain_4
:Mainly_Alpha	:Up-down_Bundle	:Monooxygenase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
